name,gens^figure^public_figure^epithet^call^identify^nominate^make^appoint^constitute^mention^advert^bring_up^cite^refer^discover^key^key_out^distinguish^describe^list^diagnose
first,number_one^number_1^beginning^commencement^outset^get-go^start^kickoff^starting_time^showtime^offset^first_base^first-class_honours_degree^first_gear^low_gear^low^1st^inaugural^initiative^initiatory^maiden^foremost^world-class^firstly^first_of_all^first_off^for_the_first_time
pishon,
flows,flow^flowing^flow_rate^rate_of_flow^stream^current^menstruation^menses^menstruum^catamenia^period^flux^run^feed^course^hang^fall^menstruate
through,done^through_with^through_and_through
havilah,
where,
gold,amber^Au^atomic_number_79^golden^gilded^aureate^gilt
aromatic,redolent
resin,rosin
onyx,
stone,rock^gem^gemstone^pit^endocarp^Stone^Harlan_Stone^Harlan_F._Stone^Harlan_Fisk_Stone^Oliver_Stone^Lucy_Stone^I._F._Stone^Isidor_Feinstein_Stone^Harlan_Fiske_Stone^Edward_Durell_Stone^lapidate
gihon,
same,Lapp^Lapplander^Sami^Saami^Same^Saame^like
cush,
hiddekel,
front,front_end^forepart^battlefront^front_line^front_man^figurehead^nominal_head^straw_man^strawman^presence^movement^social_movement^look^face^breast
assyria,Assyria
euphrates,Euphrates^Euphrates_River
took,take^occupy^use_up^lead^direct^conduct^guide^get_hold_of^assume^acquire^adopt^take_on^read^bring^convey^choose^select^pick_out^accept^have^fill^consider^deal^look_at^necessitate^ask^postulate^need^require^involve^call_for^demand^film^shoot^remove^take_away^withdraw^consume^ingest^take_in^submit^strike^take_up^admit^learn^study^claim^exact^make^aim^train^take_aim^carry^pack^lease^rent^hire^charter^engage^subscribe^subscribe_to^contain^hold^drive^contract^get
dress,frock^attire^garb^apparel^wearing_apparel^clothes^get_dressed^clothe^enclothe^raiment^tog^garment^habilitate^fit_out^dress_up^preen^primp^plume^dress_out^line_up^trim^garnish^decorate^snip^clip^crop^lop^prune^cut_back^groom^curry^arrange^set^do^coif^coiffe^coiffure^full-dress
keep,support^livelihood^living^bread_and_butter^sustenance^donjon^dungeon^hold^maintain^continue^go_on^proceed^go_along^hold_on^prevent^observe^retain^keep_on^sustain^stay_fresh^celebrate^restrain^keep_back^hold_back^preserve^keep_open^hold_open^save
commanded,command^require^dominate^overlook^overtop^control
may,May^whitethorn^English_hawthorn^Crataegus_laevigata^Crataegus_oxycantha
freely,
eat,feed^eat_on^consume^eat_up^use_up^deplete^exhaust^run_through^wipe_out^corrode^rust
shall,
surely,certainly^sure^for_sure^for_certain^sure_enough^sure_as_shooting
die,dice^decease^perish^go^exit^pass_away^expire^pass^kick_the_bucket^cash_in_one's_chips^buy_the_farm^conk^give-up_the_ghost^drop_dead^pop_off^choke^croak^snuff_it^fail^go_bad^give_way^give_out^conk_out^break^break_down^die_out^pall^become_flat
should,
alone,lone^lonely^solitary^only^unique^unequaled^unequalled^unparalleled^entirely^exclusively^solely^solo^unaccompanied
helper,assistant^help^supporter^benefactor
suitable,suited^desirable^worthy
see,understand^realize^realise^witness^find^visualize^visualise^envision^project^fancy^figure^picture^image^consider^reckon^view^regard^learn^hear^get_word^get_wind^pick_up^find_out^get_a_line^discover^watch^catch^take_in^meet^run_into^encounter^run_across^come_across^determine^check^ascertain^insure^see_to_it^ensure^control^assure^visit^attend^take_care^look^go_steady^go_out^date^examine^experience^go_through^escort^interpret^construe
what,
would,
call,phone_call^telephone_call^Call^cry^outcry^yell^shout^vociferation^claim^birdcall^birdsong^song^margin_call^call_option^name^telephone^call_up^phone^ring^shout_out^scream^holler^hollo^squall^send_for^visit^call_in^address^bid^call_off^predict^foretell^prognosticate^forebode^anticipate^promise
whatever,any^whatsoever
