formed,form^organize^organise^constitute^make^take_form^take_shape^spring^shape^work^mold^mould^forge^imprint
slime,sludge^goo^goop^gook^guck^gunk^muck^ooze
breathed,breathe^take_a_breath^respire^suspire^rest^catch_one's_breath^take_a_breather^emit^pass_off^voiceless
breath,breather^breathing_place^breathing_space^breathing_spell^breathing_time^hint^intimation
became,become^go^get^turn^suit
planted,plant^set^implant^engraft^embed^imbed^establish^found^constitute^institute^deep-rooted^deep-seated^implanted^ingrained
pleasure,pleasance^joy^delight
placed,put^set^place^pose^position^lay^rate^rank^range^order^grade^locate^site^come_in^come_out^target^aim^direct^point^identify^localize^localise^invest^commit^station^post^send^located^situated
whom,
manner,mode^style^way^fashion^personal_manner
fair,carnival^funfair^bazaar^just^fairish^reasonable^bonny^bonnie^comely^sightly^average^mediocre^middling^clean^honest^fairly^evenhandedly
pleasant,
midst,thick
