,[]
'banished',[]
applauded,"['applaud', 'clap', 'spat']"
chapmen's,[]
husbands,"['husband', 'hubby', 'married_man', 'conserve', 'economize']"
sisters',[]
internal,"['intragroup', 'home', 'interior', 'national', 'inner']"
revenues,"['gross', 'revenue', 'receipts', 'tax_income', 'taxation']"
town],[]
whelp'd,[]
bearer,"['carrier', 'toter', 'pallbearer']"
bespeak,"['betoken', 'indicate', 'point', 'signal', 'request', 'call_for']"
forespent,[]
uprighteously,[]
disobedience,[]
burier,[]
warped,"['falsify', 'distort', 'garble', 'warp', 'heave']"
holidam,[]
turtle,"['turtleneck', 'polo-neck', 'capsize']"
novum,[]
lacking,"['miss', 'lack', 'deficient', 'wanting', 'absent']"
mickle,"['batch', 'deal', 'flock', 'good_deal', 'great_deal', 'hatful', 'heap', 'lot', 'mass', 'mess', 'mint', 'mountain', 'muckle', 'passel', 'peck', 'pile', 'plenty', 'pot', 'quite_a_little', 'raft', 'sight', 'slew', 'spate', 'stack', 'tidy_sum']"
wights,"['creature', 'wight', 'Wight']"
apprehends,"['grok', 'get_the_picture', 'comprehend', 'savvy', 'dig', 'grasp', 'compass', 'apprehend', 'collar', 'nail', 'arrest', 'pick_up', 'nab', 'cop']"
lesson'd,[]
cow'r'd,[]
conditions,"['weather', 'weather_condition', 'atmospheric_condition', 'condition', 'status', 'precondition', 'stipulation', 'circumstance', 'consideration', 'shape', 'term', 'experimental_condition', 'discipline', 'train', 'check', 'stipulate', 'qualify']"
lammas,"['Lammas', 'Lammas_Day']"
heirs,"['heir', 'inheritor', 'heritor']"
[above,[]
moon's,[]
wheel'd,[]
binary,"['binary_star', 'double_star']"
cancell'd,[]
lionel,[]
regular,"['habitue', 'fixture', 'veritable', 'even', 'steady']"
horrible,"['atrocious', 'frightful', 'horrifying']"
sperm,"['sperm_cell', 'spermatozoon']"
thriving,"['boom', 'thrive', 'flourish', 'expand', 'prosper', 'fly_high', 'booming', 'flourishing', 'palmy', 'prospering', 'prosperous']"
changes,"['change', 'alteration', 'modification', 'variety', 'alter', 'modify', 'vary', 'switch', 'shift', 'exchange', 'commute', 'convert', 'interchange', 'transfer']"
jolly,"['jolly_boat', 'kid', 'chaff', 'josh', 'banter', 'gay', 'jocund', 'jovial', 'merry', 'mirthful', 'reasonably', 'moderately', 'pretty', 'somewhat', 'fairly', 'middling']"
will't,[]
discoursed,"['discourse', 'talk_about', 'discuss', 'converse', 'hold_forth']"
regenerate,"['renew', 'reform', 'reclaim', 'rectify', 'restore', 'rejuvenate']"
pledge,"['toast', 'assurance', 'plight', 'subscribe', 'drink', 'salute']"
blurs,"['blur', 'fuzz', 'film_over', 'glaze_over', 'confuse', 'obscure', 'obnubilate', 'smear', 'smudge', 'smutch', 'blear', 'dim']"
809,[]
75,['seventy-five']
fortune's,[]
blenches,"['pale', 'blanch']"
caparison,"['trapping', 'housing', 'bard', 'barde']"
hang'st,[]
discandying,[]
unseasoned,"['unsalted', 'untested', 'untried']"
